Name reduce-output-bytes shuffle-finish reduce-finish
task_200904102259_0008_r_000571 370732400 35 44
task_200904102259_0008_r_000572 370521800 34 44
task_200904102259_0008_r_000573 370403700 34 43
task_200904102259_0008_r_000574 370591200 34 43
task_200904102259_0008_r_000575 370338500 35 45
task_200904102259_0008_r_000576 370089600 42 50
task_200904102259_0008_r_000577 370609500 34 41
task_200904102259_0008_r_000578 370558200 33 44
task_200904102259_0008_r_000579 370366800 33 43
task_200904102259_0008_r_000580 370282400 34 42
task_200904102259_0008_r_000581 370607100 33 42
task_200904102259_0008_r_000582 370415200 37 46
task_200904102259_0008_r_000583 370367000 34 44
task_200904102259_0008_r_000584 370198400 35 46
task_200904102259_0008_r_000585 370257900 35 45
task_200904102259_0008_r_000586 370470700 35 44
task_200904102259_0008_r_000587 370489200 34 42
task_200904102259_0008_r_000588 370225800 35 44
task_200904102259_0008_r_000589 370268200 35 48
task_200904102259_0008_r_000590 370495600 34 43
task_200904102259_0008_r_000591 370416800 40 47
task_200904102259_0008_r_000592 370006200 35 43
task_200904102259_0008_r_000593 370409300 35 44
task_200904102259_0008_r_000594 370689000 35 44
task_200904102259_0008_r_000595 370633300 33 43
task_200904102259_0008_r_000596 370244300 35 44
task_200904102259_0008_r_000597 370406700 35 44
task_200904102259_0008_r_000598 370568300 33 44
task_200904102259_0008_r_000599 370404900 33 41
task_200904102259_0008_r_000600 370456400 33 42
task_200904102259_0008_r_000601 370215500 34 45
